Counter	Image	Merger (0 = no, 1 = yes)	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
97	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_205.fits	1	2.0	3	2	2.5715086861175105	4.366364626868915	0.5944224800405611	-1.234027291245671	2.441683006210951	0.3511148228534061	0.15521810955722745	2.9534	0.7164640999999999
98	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_210.fits	1	2.05	3	1	0.0	0.0	0.6085211858505143	-2.1653402167681026	3.3645533795601485	0.2416020732274041	0.056110868443046386	1.7108	0.21448468
99	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_220.fits	1	2.15	3	1	0.0	0.0	0.6209281155577029	-2.326747113760517	4.588613183467385	0.2699912144343269	0.14146968987197928	2.5463	0.16341287
100	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_225.fits	1	2.2	3	1	0.0	0.0	0.6491050253272453	-2.146172587472957	4.088828446201239	0.2066943757709275	0.10928628557385207	2.6210000000000004	0.08840354
101	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_230.fits	1	2.25	3	1	0.0	0.0	0.6414592877914039	-2.1665855697497607	4.121704319611638	0.1799216731000709	0.10406449275303413	2.6738	0.25887057
102	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_240.fits	1	2.35	3	1	0.0	0.0	0.6373280285599799	-2.2142188410645085	4.514763658254287	0.1622680406898541	0.19316327828387184	2.9019999999999997	0.21894549
103	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_250.fits	1	2.44	3	1	0.0	0.0	0.6123310037937905	-2.289624663612902	4.580662600900362	0.13722700291304796	0.1484661022707491	3.0304	0.053642623
104	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_260.fits	1	2.54	3	1	0.0	0.0	0.6110043079474691	-2.322414826332337	4.35797439459693	0.08226192926063187	0.1368793548382444	2.7645	0.13294233
105	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_265.fits	1	2.59	3	1	0.0	0.0	0.5934809053636018	-2.2720470443515506	4.203289689890963	0.057180429255987784	0.12724835033295248	2.6051	0.13379669
106	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_275.fits	0	2.69	3	1	0.0	0.0	0.6018616302310386	-2.2648528040074343	3.845877814022393	0.03452014794059228	0.06286792228689994	1.9387	0.18455917
107	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_285.fits	0	2.79	3	1	0.0	0.0	0.5777261669798431	-2.131045823125156	3.8279236895344138	0.04087897714219759	0.06445805351628495	1.8489	0.10615312
108	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_295.fits	0	3.62	3	1	0.0	0.0	0.5956402981649487	-2.2278792226538933	3.797509861134533	0.0048671355972201786	0.07818793396981917	1.8942	0.20120725
109	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_305.fits	0	4.6	3	1	0.0	0.0	0.585995567858005	-2.310937524712636	4.161968577436206	0.10656928707796737	0.13061511147924956	2.5275	0.14116952
110	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_311.fits	0	5.18	3	1	0.0	0.0	0.6096073020432989	-2.362096928596323	4.068136220337111	-0.030376367746800182	0.08078612481279188	2.2785	0.10531496
111	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_315.fits	0	5.57	3	1	0.0	0.0	0.6002362197451949	-2.3803973032301595	4.275563914538487	0.00940473871592386	0.14737926848156052	2.5264	0.082032286
112	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_320.fits	0	6.06	3	1	0.0	0.0	0.6196563835266877	-2.4472025286433667	4.313789272677802	-0.028231096751832743	0.1245164757102661	2.3936	0.14150943
113	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_005.fits	0	0.05	3	1	0.0	0.0	0.5013060416671469	-1.7936258625548205	2.7390633755110234	0.023567992300411275	0.033777329556127965	0.8296	0.08096018
114	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_010.fits	0	0.1	3	1	0.0	0.0	0.5133387262686924	-1.7488683855974578	2.649384711668434	0.017052189295107597	0.02269535568746553	0.7371	0.04667124
115	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_020.fits	0	0.2	3	1	0.0	0.0	0.4804321219497902	-1.7660952014780853	2.6538506350070445	0.008502154352175785	0.03692133911120128	0.8269	0.12896825
